analysis_id,xx5pno51d86tge0
gene_symbol,Dcaf12
parameter_id,IMPC_ECH_003_001
pvalue,0.1627737
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Stroke Volume
