parameter_name,Anophthalmia
gene_accession_id,MGI:95457
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,IMPC_GEO_048_002
pvalue,0.7438458
gene_symbol,Mecom
analysis_id,845l0rp11767mp2
