parameter_id,IMPC_GRS_011_001
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:1888742
mouse_strain,C57BL
pvalue,0.8727346
gene_symbol,Extl1
analysis_id,3172lt4drv864q7
