analysis_id,57h8mob0w130ac6
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
parameter_id,JAXLA_EYE_092_001
parameter_name,Retina (combined)
mouse_strain,C57BL
pvalue,0.3420675
gene_symbol,Sgip1
