gene_symbol,Snrpb2
mouse_strain,C57BL
parameter_id,JAXLA_DXA_009_001
mouse_life_stage,Early adult
pvalue,0.6212712
gene_accession_id,MGI:104805
parameter_name,Fat/Body weight
analysis_id,t62niisk5305i47
