parameter_name,Eye
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
parameter_id,M-G-P_014_001_001
pvalue,0.3519422
mouse_strain,C57BL
gene_symbol,Atg4c
analysis_id,b3wa309q0927755
