gene_symbol,Snrpb2
mouse_strain,C57BL
parameter_name,B cell percentage
analysis_id,k59591v81k33725
mouse_life_stage,Early adult
pvalue,0.1037161
parameter_id,MGP_PBI_014_001
gene_accession_id,MGI:104805
