parameter_name,Distance travelled - total
gene_symbol,Sgip1
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8c2493an93kp1j4
parameter_id,HRWLLA_OFD_020_001
pvalue,0.3628836
gene_accession_id,MGI:1920344
