parameter_name,B1B Cells
parameter_id,IMPC_IMM_064_001
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_strain,C57BL
pvalue,0.05864813
analysis_id,2f1s9i8x4u0dc69
mouse_life_stage,Early adult
