gene_symbol,Zcchc2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
pvalue,0.2985584
analysis_id,64f12lj0wxpu970
parameter_id,MGP_BMI_014_001
