gene_symbol,Rigi
pvalue,0.2722862
analysis_id,00acko3ru3ihii9
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2442858
parameter_id,MGP_PBI_031_001
parameter_name,KLRG1+ mature NK cell number
