parameter_name,Body length
mouse_strain,C57BL
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
analysis_id,1g49fkxh2v701gp
pvalue,1.162166
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_006_001
