parameter_id,HRWLLA_GRS_010_001
pvalue,0.7720377
analysis_id,k312yy30wq0d0c2
parameter_name,Forelimb grip strength normalised against body weight
mouse_strain,C57BL
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
