parameter_name,White blood cell count
gene_symbol,Trp53rkb
pvalue,0.6222265
mouse_strain,C57BL
analysis_id,v7129a24mpcz5e9
parameter_id,IMPC_HEM_001_001
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
