parameter_name,Tibia length
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
analysis_id,0j68o1h96425a6k
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6085793
parameter_id,IMPC_XRY_033_001
