parameter_name,Tibia length
analysis_id,89t981j6lh45zh7
pvalue,0.8171962
mouse_strain,C57BL
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Early adult
