parameter_name,Calcium
mouse_strain,C57BL
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
gene_symbol,Lpgat1
pvalue,0.6367028
analysis_id,501pl71htjnq939
parameter_id,IMPC_CBC_009_001
