parameter_name,Facial Morphology
gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
pvalue,0.423669
analysis_id,336l179i6012gst
mouse_life_stage,Early adult
