parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
gene_accession_id,MGI:2442858
pvalue,0.1550752
mouse_strain,C56BL
mouse_life_stage,Early adult
gene_symbol,Rigi
analysis_id,n82880t558t59j1
