parameter_name,Joints
gene_symbol,Slc30a4
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.467414
analysis_id,hl9g3233y61782c
gene_accession_id,MGI:1345282
parameter_id,IMPC_XRY_027_001
