analysis_id,7pd01ykcvmjq7j5
parameter_name,Sacral processes
parameter_id,IMPC_XRY_066_001
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9515601
