analysis_id,7wk1w761035qo45
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
pvalue,0.7482349
