gene_symbol,Psmd14
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:1913284
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
pvalue,0.3143068
analysis_id,o754738ze8us29r
mouse_strain,C57BL
