gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
pvalue,0.8052088
mouse_life_stage,Early adult
parameter_id,HRWLLA_CSD_008_001
analysis_id,9975pun1jn3gbv0
