parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,Early adult
pvalue,0.4898846
parameter_id,IMPC_EYE_026_001
analysis_id,566o29xfcn0889s
mouse_strain,C57BL
gene_symbol,Psmd14
gene_accession_id,MGI:1913284
