gene_symbol,Zcchc2
pvalue,0.187456
parameter_name,Hindlimb nail - number
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,15guwo207k263js
parameter_id,IMPC_CSD_051_002
