parameter_name,B Cells
gene_symbol,Slc17a9
parameter_id,IMPC_IMM_063_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
mouse_strain,C57BL
analysis_id,833383y731fe464
pvalue,0.7902093
