gene_symbol,Snap23
mouse_life_stage,Early adult
pvalue,0.3044485
gene_accession_id,MGI:109356
analysis_id,02md6596v7ji7ua
parameter_id,JAX_URI_002_001
parameter_name,Creatinine
mouse_strain,C57BL
