gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_id,MGP_MLN_014_001
analysis_id,r31aqqhnh4a7v6h
gene_accession_id,MGI:1914583
parameter_name,Resting CD8+ T cells - % of CD8+
pvalue,0.5184109
mouse_strain,C57BL
