analysis_id,6az8h161sv06nb1
parameter_id,MGP_MLN_014_001
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Kcng1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8922564
gene_accession_id,MGI:3616086
