parameter_id,TCPLA_GRS_011_001
analysis_id,y8m41vrp3rl2n14
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
pvalue,0.2000993
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Snap23
