parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
mouse_life_stage,Early adult
analysis_id,0ij0u64uu6t770m
gene_symbol,Golm2
pvalue,1.336347
gene_accession_id,MGI:2443129
mouse_strain,C57BL
