parameter_name,Snout size
pvalue,0.4732016
mouse_life_stage,Early adult
analysis_id,g0v9b9hv2fvhx5g
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
gene_symbol,Zc2hc1a
gene_accession_id,MGI:1914556
