parameter_name,Fat/Body weight
analysis_id,cd50j09i73bmn65
mouse_strain,C57BL
pvalue,0.9653154
parameter_id,IMPC_DXA_009_001
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_life_stage,E9.5
