analysis_id,7zkm02hu1ychj79
parameter_id,IMPC_ECG_008_001
parameter_name,ST
mouse_strain,C57BL
gene_accession_id,MGI:88380
gene_symbol,F2
mouse_life_stage,Early adult
pvalue,0.9914055
