gene_symbol,Frmpd1
parameter_name,UIBC (unsaturated iron binding capacity)
pvalue,0.76529
analysis_id,c59x0z89bb94e72
mouse_life_stage,Late adult
parameter_id,IMPC_CBC_024_001
mouse_strain,C57BL
gene_accession_id,MGI:2446274
