parameter_name,Whole arena resting time
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
analysis_id,6bk8h1d07r61209
pvalue,0.6508668
mouse_strain,C57BL
parameter_id,JAXLA_OFD_007_001
gene_symbol,Cdin1
