analysis_id,v1j142bxn71sb6w
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_name,Weight
mouse_life_stage,Middle aged adult
pvalue,0.7770345
parameter_id,CCP_LFO_001_001
