gene_symbol,Golm2
parameter_id,IMPC_EYE_001_001
mouse_strain,C57BL
parameter_name,Eye
mouse_life_stage,Early adult
pvalue,0.9159627
analysis_id,30s10615d804d33
gene_accession_id,MGI:2443129
