gene_symbol,Ilkap
parameter_id,M-G-P_016_001_006
pvalue,0.9251933
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914694
parameter_name,Mean-corpuscular-haemoglobin
analysis_id,c251sh9lmunomne
