analysis_id,54zj7f4n683ijv8
pvalue,0.1196153
mouse_strain,C57BL
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_name,Startle response
mouse_life_stage,Early adult
parameter_id,HMGULA_SHI_009_001
