analysis_id,9lvzv2ka568h7n5
mouse_strain,C57BL
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_004_001
parameter_name,RR
gene_symbol,Slx4ip
pvalue,0.41805
