gene_symbol,Atf3
pvalue,0.2052116
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,7v669vfu04sarvl
parameter_name,Fat/Body weight
gene_accession_id,MGI:109384
parameter_id,IMPC_DXA_009_001
