gene_symbol,Pex19
analysis_id,p82887wxnh79hs6
mouse_strain,C57BL
gene_accession_id,MGI:1334458
parameter_name,CD4+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_032_001
mouse_life_stage,E18.5
pvalue,0.3977379
