mouse_strain,C57BL
gene_accession_id,MGI:1921442
analysis_id,ce044h6qo471y48
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_024_001
parameter_name,Femur
pvalue,0.7313885
gene_symbol,Arpc5l
