analysis_id,g61ti09h2oaz832
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:3046938
pvalue,0.5178802
parameter_name,Resting Treg cells - % of Treg
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Hrnr
