gene_symbol,Mms22l
parameter_name,Gait
gene_accession_id,MGI:2684980
pvalue,0.1274565
parameter_id,IMPC_CSD_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,85vfdhk37qf5say
