parameter_id,HRWLLA_OFD_011_001
parameter_name,Periphery resting time
gene_symbol,Tbl1xr1
mouse_life_stage,Early adult
analysis_id,nd6iki4vkqtm329
pvalue,0.293239
mouse_strain,C57BL
gene_accession_id,MGI:2441730
