gene_symbol,Nr0b2
mouse_strain,B6J
parameter_name,Effector CD8+ T cells - % of CD8+
pvalue,0.2051629
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
parameter_id,MGP_IMM_014_001
analysis_id,d62gvz7kb9964bw
