analysis_id,x4740aki24uf51w
parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.6592795
gene_accession_id,MGI:1917810
