parameter_name,Anophthalmia
gene_accession_id,MGI:2385884
analysis_id,9l5k7d4zd4l57ba
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_048_002
pvalue,0.4508527
mouse_strain,129SV
gene_symbol,Ddx27
