analysis_id,522oxq4j3692f3j
mouse_life_stage,Early adult
pvalue,0.7209952
parameter_name,PP1 + pulse startle magnitude
gene_symbol,Golm2
mouse_strain,C57BL
parameter_id,ESLIM_011_001_007
gene_accession_id,MGI:2443129
