gene_symbol,Ivd
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
parameter_id,MGP_IMM_131_001
pvalue,0.8986324
mouse_strain,C57BL
analysis_id,b5cz67u11z41406
parameter_name,CD103+ CD11b-low cDC - % of CD45+
