gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
parameter_name,Coat - hair texture / appearance - abdomen
analysis_id,lxquun5zil7o939
pvalue,0.7581652
parameter_id,IMPC_CSD_016_001
mouse_strain,C59BL
