analysis_id,99k921y0510h648
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.7458838
