parameter_id,IMPC_FEA_003_001
pvalue,0.853893
parameter_name,Conditioning Baseline % Freezing Time
analysis_id,o9j561n13797k1s
mouse_life_stage,Early adult
gene_symbol,Col6a3
mouse_strain,C57BL
gene_accession_id,MGI:88461
