analysis_id,v9k6ph2m65x8b38
gene_accession_id,MGI:1338032
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
gene_symbol,Sema6c
pvalue,0.3257509
mouse_life_stage,Early adult
parameter_name,Limb morphology
