analysis_id,b8978rr233f9k42
pvalue,0.4430688
gene_symbol,Alkbh3
mouse_strain,C57BL
gene_accession_id,MGI:1916363
parameter_name,Coat - color - abdomen
parameter_id,IMPC_CSD_007_001
mouse_life_stage,Early adult
