parameter_id,JAX_PLC_002_001
analysis_id,08392n3jc6k6r76
gene_symbol,Slc39a10
parameter_name,HDL cholesterol
mouse_strain,C57BL
pvalue,0.3119515
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
