gene_symbol,Dhdds
parameter_name,Coat - color - abdomen
gene_accession_id,MGI:1914672
mouse_strain,C57BL
pvalue,0.8242084
analysis_id,ua3d0oa39qba21e
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_007_001
