Parameter_name,PP1 startle magnitude
analysis_id,0q584p325kd57yk
gene_accession_id,MGI:1915524
mouse_strain,C57BL
mouse_life_stage,Early adult
Parameter_id,ESLIM_011_001_002
gene_symbol,Toporsl
pvalue,0.08431006
