gene_symbol,Zyg11b
analysis_id,205e7ln9ar499k6
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,Cleft palate
parameter_id,IMPC_GEP_076_001
gene_accession_id,MGI:2685277
pvalue,0.9068011
