parameter_name,center - resting time
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
analysis_id,40fc4j8h67o10f1
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,M-G-P_007_001_011
pvalue,0.9195314
