analysis_id,y96bv2ix6fae988
parameter_id,IMPC_EYE_026_001
gene_symbol,Fgb
pvalue,0.5572899
mouse_strain,C57BL
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:99501
mouse_life_stage,Early adult
